ID,NOMBRE,CEDULA,GRADO,PROMEDIO
1,DEIVID NICOLAS CORTES,21351221231,3,96
2,CARLOS EDUARDO ANGARITA,575245254,3,85
3,DIEGO ANDRES REYES SASTOQUE,775721757,3,74
4,EDWIN  ALEJANDRO SANCHEZ,75757257,1,14
5,ILBER DARIO  SAZA,75452754,3,25
6,FREDDY ALBERTO MOYANO,343124212,4,36
7,ELIZABETH SAENZ,213213543,4,65
8,JOSE ALEJANDRO ALVAREZ,772724214,1,85
9,JUAN GABRIEL VELANDIA,752742754,5,45
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,5,25
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,5,15
12,CRISTINA ISABEL REALES,41213141,1,95
13,MARLY THAIANA CUBILLOS,213254135,1,35
14,LIDIA SMITH AMADO DUGARTE,2132132132,2,75
15,YERSON DARIO TORRES ALVAREZ,123135021,2,93
16,CARLOS JOSE ARIAS,1003523221,2,71
17,JOSE LUIS SOTO,1035413551,1,82
18,KEVIN YESID MENDEZ,10032120,5,100
19,CLAUDIA VIVIANA OROZCO,10203121,2,100
20,WILMAR  MARQUEZ TOCANCHON,1032165412,2,100
